ID,Nama Dosen,Matakuliah - Kelas
1,"Dr. Emillia Nurdin, S.E., M.Si., CTT, CRA, CRP.",Akuntansi Keuangan Menengah II - Kelas B
2,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Akuntansi Keuangan Menengah II - Kelas D
3,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas C
4,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Komputer Akuntansi - Kelas C
5,"Dr. Nur Asni, SE, M.Si",Metodologi Penelitian - Kelas A-23
6,"Dr. Emillia Nurdin, S.E., M.Si., CTT, CRA, CRP.",Metodologi Penelitian - Kelas E-22
7,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",Pengantar Akuntansi II - Kelas A
8,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",Pengantar Akuntansi II - Kelas B
9,"Dr. Intihanah, SE, M.Si, QIA",Akuntansi Biaya - Kelas A
10,"Syaiah, SE. M.Si",AKUNTANSI KEPRILAKUAN - Kelas LAMA
11,"Prof. Dr. La Ode Anto, SE, M.Si, Ak, QIA, CA, CTT, CRP, CRMP, QGIA, Asean CPA",Akuntansi Keuangan Lanjutan II - Kelas A
12,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Akuntansi Keuangan Menengah II - Kelas A
13,"Dr. Emillia Nurdin, S.E., M.Si., CTT, CRA, CRP.",Akuntansi Keuangan Menengah II - Kelas C
14,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Analisa Laporan Keuangan - Kelas B
15,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Komputer Akuntansi - Kelas D
16,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",Perpajakan II - Kelas B
17,"Dr. Nur Asni, SE, M.Si",Akuntansi Biaya - Kelas B
18,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Audit Kinerja Pemerintah Daerah - Kelas A
19,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas E
20,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",AUDITING II - Kelas A
21,"Dr. Wahyuniati Hamid, S.Pd., M.Si.",Manajemen Pemasaran - Kelas C
22,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Sistem Informasi Akuntansi - Kelas C
23,"Dr. Sukring, M.Pd.I.",AGAMA - Kelas D
24,"Safaruddin, SE., M.S.A, Ak, CA",AKUNTANSI KEUANGAN MENENGAH 1 - Kelas LAMA
25,"Syaiah, SE. M.Si",Akuntansi Syariah - Kelas LAMA
26,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Audit Kinerja Pemerintah Daerah - Kelas B
27,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Audit Kinerja Pemerintah Daerah - Kelas C
28,"Dr. Nur Asni, SE, M.Si",Akuntansi Biaya - Kelas C
29,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Akuntansi Keuangan Lanjutan II - Kelas D
30,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Akuntansi Sektor Publik - Kelas A
31,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas C
32,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",AUDITING II - Kelas B
33,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Metodologi Penelitian - Kelas C-23
34,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Akuntansi Sektor Publik - Kelas B
35,"Wa Ode Aswati, S.E., M.Si., CRP",Akuntansi Sektor Publik - Kelas D
36,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Etika Bisnis dan Profesi Akuntan - Kelas E
37,"Nitri Mirosea, SE, M.Si, M.AAC, CFE, Ph.D",Komputer Akuntansi - Kelas B
38,"Prof. Dr. H. Hasbudin, SE, M.Si, Ak, QIA, CA, ACPA, CTA",Pengantar Akuntansi II - Kelas C
39,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",Perpajakan II - Kelas A
40,"Dr. Intihanah, SE, M.Si, QIA",Sistem Pengendalian Manajemen - Kelas B
41,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Akuntansi Manajemen - Kelas B
42,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",Akuntansi Sektor Publik - Kelas C
43,"Nitri Mirosea, SE, M.Si, M.AAC, CFE, Ph.D",Bhs. Inggris & Bhs Asing Lainnya - Kelas LAMA
44,"Prof. Dr. H. Hasbudin, SE, M.Si, Ak, QIA, CA, ACPA, CTA",Etika Bisnis dan Profesi Akuntan - Kelas B
45,"Dr. Drs. Husin, M.Si",Sistem Akuntansi Keuangan Daerah - Kelas E
46,"Dr. Drs. Husin, M.Si",Sistem Pengendalian Manajemen - Kelas A
47,"Dr. Drs. Husin, M.Si",Sistem Pengendalian Manajemen - Kelas D
48,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Audit Kinerja Pemerintah Daerah - Kelas D
49,"Vina Olivia Pebrianti, SE. ME",Perilaku Organisasi - Kelas LAMA
50,"Dr. Eliyanti Agus Mokodompit, SE., M.Si.",Wawasan Kemaritiman - Kelas A
51,"Dr. Eliyanti Agus Mokodompit, SE., M.Si.",Wawasan Kemaritiman - Kelas B
52,"Dr. La Ode Bahana Adam, SE., M.Si.",Wawasan Kemaritiman - Kelas C
53,"Prof. Dr. H. Hasbudin, SE, M.Si, Ak, QIA, CA, ACPA, CTA",Akuntansi Manajemen - Kelas A
54,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Akuntansi Manajemen - Kelas D
55,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",AUDITING II - Kelas D
56,"Dr. Intihanah, SE, M.Si, QIA",Pengantar Akuntansi II - Kelas D
57,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",Perpajakan II - Kelas C
58,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Sistem Akuntansi Keuangan Daerah - Kelas D
59,"Dr. Sulvariany Tamburaka, SE, M.Si, ACPA, CTA, CTT",Sistem Pengendalian Manajemen - Kelas C
60,"Prof. Dr. H. Hasbudin, SE, M.Si, Ak, QIA, CA, ACPA, CTA",Akuntansi Manajemen - Kelas C
61,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A
62,"Nitri Mirosea, SE, M.Si, M.AAC, CFE, Ph.D",Analisa Laporan Keuangan - Kelas D
63,"Dr. Intihanah, SE, M.Si, QIA",Analisa Laporan Keuangan - Kelas E
64,"Dr. La Sensu, S.Ag., MH.",Hukum Bisnis dan Perusahaan - Kelas B
65,"Prof. Dr. H. Rahmat Madjid, S.E., M.Si.",Manajemen Pemasaran - Kelas D
66,"Satira Yusuf, SE., M.Si.",Hukum Bisnis dan Perusahaan - Kelas A
67,"Dr. Yusuf, SE., MM.",Manajemen Pemasaran - Kelas B
68,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Manajemen Strategi - Kelas A
69,"Dr. Sulvariany Tamburaka, SE, M.Si, ACPA, CTA, CTT",Sistem Informasi Akuntansi - Kelas B
70,"Dr. Intihanah, SE, M.Si, QIA",Sistem Informasi Akuntansi - Kelas D
71,"Satira Yusuf, SE., M.Si.",Sistem Pengendalian Manajemen - Kelas E
72,"Muamal Gadafi, S.Ag.,M.Pd",AGAMA - Kelas B
73,"Dr. Sukring, M.Pd.I.",AGAMA - Kelas C
74,"Nitri Mirosea, SE, M.Si, M.AAC, CFE, Ph.D",Akuntansi Keuangan Menengah II - Kelas INTER
75,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Auditing I - Kelas LAMA
76,"Safaruddin, SE., M.S.A, Ak, CA",Teori Akuntansi - Kelas LAMA
77,"Dr. La Ode Bahana Adam, SE., M.Si.",Wawasan Kemaritiman - Kelas D
78,"Dr. Emillia Nurdin, S.E., M.Si., CTT, CRA, CRP.",Akuntansi Keuangan Lanjutan II - Kelas B
79,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Akuntansi Keuangan Lanjutan II - Kelas E
80,"Nitri Mirosea, SE, M.Si, M.AAC, CFE, Ph.D",Komputer Akuntansi - Kelas E
81,"Dr. Emillia Nurdin, S.E., M.Si., CTT, CRA, CRP.",MANAJEMEN KEUANGAN 1 - Kelas A
82,"Dr. Drs. Husin, M.Si",Metodologi Penelitian - Kelas A-22
83,"Nitri Mirosea, SE, M.Si, M.AAC, CFE, Ph.D",Sistem Akuntansi Keuangan Daerah - Kelas C
84,"Dr. Sulvariany Tamburaka, SE, M.Si, ACPA, CTA, CTT",Sistem Informasi Akuntansi - Kelas A
85,"Dr. Nur Asni, SE, M.Si",MANAJEMEN KEUANGAN 1 - Kelas B
86,"Prof. Dr. Dedy Takdir Syaifuddin, S.E.,M.Si.",MANAJEMEN KEUANGAN 1 - Kelas C
87,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Metodologi Penelitian - Kelas C-22
88,"Dr. Sujono, SE., M.Si.",Metodologi Penelitian - Kelas D-22
89,"Dr. Drs. Husin, M.Si",Metodologi Penelitian - Kelas B-22
90,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas D
91,"Dr. Nur Asni, SE, M.Si",MANAJEMEN KEUANGAN 1 - Kelas D
92,"Prof. Dr. Nasrul, S.E., M.Si.",Manajemen Pemasaran - Kelas A
93,"Dr. La Hatani, SE., MM.",Manajemen Strategi - Kelas B
94,"Prof. Dr. Buyung Sarita, S.E., M.S.",Manajemen Strategi - Kelas C
95,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",Manajemen Strategi - Kelas D
96,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Metode Kuantitatif Dalam Bisnis - Kelas LAMA
97,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas E
98,"Dr. Drs. Husin, M.Si",Manajemen Strategi - Kelas E
99,"Muamal Gadafi, S.Ag.,M.Pd",AGAMA - Kelas A
100,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Pengantar Ilmu Ekonomi Makro - Kelas LAMA
101,"Safaruddin, SE., M.S.A, Ak, CA",Perpajakan I - Kelas LAMA
102,"Dr. Intihanah, SE, M.Si, QIA",Akuntansi Biaya - Kelas D
103,"Prof. Dr. La Ode Anto, SE, M.Si, Ak, QIA, CA, CTT, CRP, CRMP, QGIA, Asean CPA",Akuntansi Keuangan Lanjutan II - Kelas C
104,"Prof. Dr. H. Hasbudin, SE, M.Si, Ak, QIA, CA, ACPA, CTA",Etika Bisnis dan Profesi Akuntan - Kelas D
105,"Dr. La Sensu, S.Ag., MH.",Hukum Bisnis dan Perusahaan - Kelas C
106,"Satira Yusuf, SE., M.Si.",Hukum Bisnis dan Perusahaan - Kelas D
107,"Syaiah, SE. M.Si",Komputer Akuntansi - Kelas A
108,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Sistem Akuntansi Keuangan Daerah - Kelas A
109,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Etika Bisnis dan Profesi Akuntan - Kelas A
110,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",Etika Bisnis dan Profesi Akuntan - Kelas C
111,"Prof. Dr. La Ode Anto, SE, M.Si, Ak, QIA, CA, CTT, CRP, CRMP, QGIA, Asean CPA",Metodologi Penelitian - Kelas B-23
112,"Prof. Dr. La Ode Anto, SE, M.Si, Ak, QIA, CA, CTT, CRP, CRMP, QGIA, Asean CPA",Metodologi Penelitian - Kelas D-23
113,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Sistem Akuntansi Keuangan Daerah - Kelas B
114,"Vina Olivia Pebrianti, SE. ME",Akuntansi Perbankan - Kelas LAMA
115,"Safaruddin, SE., M.S.A, Ak, CA",Kuliah Kerja Nyata(KKN) - Kelas 1 KLS
116,"Safaruddin, SE., M.S.A, Ak, CA",MANAJEMEN KEUANGAN 1 - Kelas LAMA
117,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Perencanaan dan Penganggaran - Kelas LAMA
118,"Ika Maya Sari, SE., M.Si, Ak, CA, CTT, CRA, CRP",Akuntansi Keuangan Menengah II - Kelas B
119,"Nitri Mirosea, SE, M.Si, M.AAC, CFE, Ph.D",Akuntansi Keuangan Menengah II - Kelas D
120,"Ika Maya Sari, SE., M.Si, Ak, CA, CTT, CRA, CRP",AUDITING II - Kelas C
121,"Syaiah, SE. M.Si",Komputer Akuntansi - Kelas C
122,"Prof. Dr. H. Hasbudin, SE, M.Si, Ak, QIA, CA, ACPA, CTA",Metodologi Penelitian - Kelas A-23
123,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Metodologi Penelitian - Kelas E-22
124,"Safaruddin, SE., M.S.A, Ak, CA",Pengantar Akuntansi II - Kelas A
125,"Safaruddin, SE., M.S.A, Ak, CA",Pengantar Akuntansi II - Kelas B
126,"Ika Maya Sari, SE., M.Si, Ak, CA, CTT, CRA, CRP",Akuntansi Biaya - Kelas A
127,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Keuangan Lanjutan II - Kelas A
128,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Akuntansi Keuangan Menengah II - Kelas A
129,"Safaruddin, SE., M.S.A, Ak, CA",Akuntansi Keuangan Menengah II - Kelas C
130,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Analisa Laporan Keuangan - Kelas B
131,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Komputer Akuntansi - Kelas D
132,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Perpajakan II - Kelas B
133,"Hasnidar, S.E., M.Si.",Akuntansi Biaya - Kelas B
134,"Saul Pabendon, Ak., CA., QRMP",Audit Kinerja Pemerintah Daerah - Kelas A
135,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",AUDITING II - Kelas E
136,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",AUDITING II - Kelas A
137,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Manajemen Pemasaran - Kelas C
138,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Sistem Informasi Akuntansi - Kelas C
139,"Pendais Hak, S.Ag., M.Pd.",AGAMA - Kelas D
140,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Audit Kinerja Pemerintah Daerah - Kelas C
141,"Syaiah, SE. M.Si",Akuntansi Biaya - Kelas C
142,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Akuntansi Keuangan Lanjutan II - Kelas D
143,"Yuli Lestari Labangu, S.E., M.Sc.",Akuntansi Sektor Publik - Kelas A
144,"Vina Olivia Pebrianti, SE. ME",Analisa Laporan Keuangan - Kelas C
145,"Ika Maya Sari, SE., M.Si, Ak, CA, CTT, CRA, CRP",AUDITING II - Kelas B
146,"Satira Yusuf, SE., M.Si.",Metodologi Penelitian - Kelas C-23
147,"Yuli Lestari Labangu, S.E., M.Sc.",Akuntansi Sektor Publik - Kelas B
148,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Sektor Publik - Kelas D
149,"Dr. Yusuf, SE, ME, Aprs (PRAKTISI)",Etika Bisnis dan Profesi Akuntan - Kelas E
150,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Komputer Akuntansi - Kelas B
151,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Pengantar Akuntansi II - Kelas C
152,"Safaruddin, SE., M.S.A, Ak, CA",Perpajakan II - Kelas A
153,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas B
154,"Wa Ode Aswati, S.E., M.Si., CRP",Akuntansi Manajemen - Kelas B
155,"Vina Olivia Pebrianti, SE. ME",Akuntansi Sektor Publik - Kelas C
156,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Etika Bisnis dan Profesi Akuntan - Kelas B
157,"Vina Olivia Pebrianti, SE. ME",Sistem Akuntansi Keuangan Daerah - Kelas E
158,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Pengendalian Manajemen - Kelas A
159,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas D
160,,Audit Kinerja Pemerintah Daerah - Kelas D
161,"Mohammad Ricky Ramadhan Rasyid, S.S., M.Hum",Wawasan Kemaritiman - Kelas A
162,"Rekha aji Pratama, ST., M.A",Wawasan Kemaritiman - Kelas B
163,"Lade Ahmaliun, S. Hut., M. Sc",Wawasan Kemaritiman - Kelas C
164,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Akuntansi Manajemen - Kelas A
165,"Wa Ode Aswati, S.E., M.Si., CRP",Akuntansi Manajemen - Kelas D
166,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",AUDITING II - Kelas D
167,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Pengantar Akuntansi II - Kelas D
168,"Dr. Sulvariany Tamburaka, SE, M.Si, ACPA, CTA, CTT",Perpajakan II - Kelas C
169,"Sari Handayani, SE., M.Ak",Sistem Akuntansi Keuangan Daerah - Kelas D
170,"Satira Yusuf, SE., M.Si.",Sistem Pengendalian Manajemen - Kelas C
171,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Akuntansi Manajemen - Kelas C
172,"Vina Olivia Pebrianti, SE. ME",Analisa Laporan Keuangan - Kelas A
173,"Vina Olivia Pebrianti, SE. ME",Analisa Laporan Keuangan - Kelas D
174,"Ika Maya Sari, SE., M.Si, Ak, CA, CTT, CRA, CRP",Analisa Laporan Keuangan - Kelas E
175,"Hasnidar, S.E., M.Si.",Hukum Bisnis dan Perusahaan - Kelas B
176,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Manajemen Pemasaran - Kelas D
177,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Hukum Bisnis dan Perusahaan - Kelas A
178,"Dr. La Ode Bahana Adam, SE., M.Si.",Manajemen Pemasaran - Kelas B
179,"Wa Ode Aswati, S.E., M.Si., CRP",Manajemen Strategi - Kelas A
180,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Sistem Informasi Akuntansi - Kelas B
181,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Sistem Informasi Akuntansi - Kelas D
182,"Hasnidar, S.E., M.Si.",Sistem Pengendalian Manajemen - Kelas E
183,"La Ode Wahidin, S.Pd.,M.Pd.I",AGAMA - Kelas B
184,"Pendais Hak, S.Ag., M.Pd.",AGAMA - Kelas C
185,"Dr. Ir. Andi Irwan Nur, MES.",Wawasan Kemaritiman - Kelas D
186,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Akuntansi Keuangan Lanjutan II - Kelas B
187,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Keuangan Lanjutan II - Kelas E
188,"Syaiah, SE. M.Si",Komputer Akuntansi - Kelas E
189,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",MANAJEMEN KEUANGAN 1 - Kelas A
190,"Safaruddin, SE., M.S.A, Ak, CA",Metodologi Penelitian - Kelas A-22
191,"Vina Olivia Pebrianti, SE. ME",Sistem Akuntansi Keuangan Daerah - Kelas C
192,"Hasnidar, S.E., M.Si.",Sistem Informasi Akuntansi - Kelas A
193,"Wa Ode Aswati, S.E., M.Si., CRP",MANAJEMEN KEUANGAN 1 - Kelas B
194,"Hasnidar, S.E., M.Si.",MANAJEMEN KEUANGAN 1 - Kelas C
195,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22
196,"Dr. Nur Asni, SE, M.Si",Metodologi Penelitian - Kelas D-22
197,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas B-22
198,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Perpajakan II - Kelas D
199,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",MANAJEMEN KEUANGAN 1 - Kelas D
200,"Dr. Noval Nur, SE., MM.",Manajemen Pemasaran - Kelas A
201,"Wa Ode Aswati, S.E., M.Si., CRP",Manajemen Strategi - Kelas B
202,"Dr. Eliyanti Agus Mokodompit, SE., M.Si.",Manajemen Strategi - Kelas C
203,"Nitri Mirosea, SE, M.Si, M.AAC, CFE, Ph.D",Manajemen Strategi - Kelas D
204,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Perpajakan II - Kelas E
205,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Manajemen Strategi - Kelas E
206,"La Ode Wahidin, S.Pd.,M.Pd.I",AGAMA - Kelas A
207,"Ika Maya Sari, SE., M.Si, Ak, CA, CTT, CRA, CRP",Akuntansi Biaya - Kelas D
208,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Akuntansi Keuangan Lanjutan II - Kelas C
209,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Etika Bisnis dan Profesi Akuntan - Kelas D
210,"Hasnidar, S.E., M.Si.",Hukum Bisnis dan Perusahaan - Kelas C
211,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Hukum Bisnis dan Perusahaan - Kelas D
212,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Komputer Akuntansi - Kelas A
213,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas A
214,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Etika Bisnis dan Profesi Akuntan - Kelas A
215,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Etika Bisnis dan Profesi Akuntan - Kelas C
216,"Dr. Emillia Nurdin, S.E., M.Si., CTT, CRA, CRP.",Metodologi Penelitian - Kelas B-23
217,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Metodologi Penelitian - Kelas D-23
218,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B